"state.name","state.abb","trump2024","n_casinos"
"Arkansas","AR",0.64307089752929,2
"Arizona","AZ",0.522300730592045,45
"California","CA",0.366776441860918,150
"Colorado","CO",0.431418599218524,50
"Connecticut","CT",0.419077483367256,2
NA,"DC",0.0646762963031157,NA
"Delaware","DE",0.419484117272772,3
"Florida","FL",0.557865427521988,150
"Georgia","GA",0.507223440306011,NA
"Hawaii","HI",0.374802835682532,0
"Iowa","IA",0.557268203420968,25
"Idaho","ID",0.657320727455476,NA
"Illinois","IL",0.422630061349922,15
"Kansas","KS",0.57163327557944,15
"Kentucky","KY",0.644720769949376,NA
"Louisiana","LA",0.602152493180035,25
"Massachusetts","MA",0.356199241089347,3
"Maryland","MD",0.343362878801693,7
"Maine","ME",0.454640805893851,2
"Michigan","MI",0.494864928749856,55
"Minnesota","MN",0.466621630222918,NA
"Missouri","MO",0.373907958180169,15
"Mississippi","MS",0.608975993677615,30
"Montana","MT",0.583914767572803,50
"North Carolina","NC",0.508542737917832,3
"North Dakota","ND",0.659174939333775,5
"Nebraska","NE",0.595574986218783,5
"New Hampshire","NH",0.481103639875638,NA
"New Jersey","NJ",0.458958066720985,8
"New Mexico","NM",0.458508592196631,25
"Nevada","NV",0.505775954356301,450
"New York","NY",0.429851558124675,25
"Ohio","OH",0.546373528340632,15
"Oklahoma","OK",0.732476666428177,120
"Oregon","OR",0.263520912414505,15
"Pennsylvania","PA",0.50313902618766,15
"Rhode Island","RI",0.419861394785953,2
"South Carolina","SC",0.58232479384329,0
"South Dakota","SD",0.687292717277725,40
"Tennessee","TN",0.642569083492709,0
"Texas","TX",0.560830425643033,NA
"Utah","UT",0.593686482415946,0
"Virginia","VA",0.460882725062984,5
"Vermont","VT",0.321136997978219,0
"Washington","WA",0.389955724922421,40
"Wisconsin","WI",0.496962971529963,15
"West Virginia","WV",0.69984653523787,7
"Wyoming","WY",0.715980048169843,5
"Alabama","AL",NA,3
"Alaska","AK",NA,5
"Indiana","IN",NA,15
