state,margin_pct
Alabama,1.3
Alaska,27.94
Arizona,32.36
Arkansas,0.61
California,16.78
Colorado,24
Connecticut,9.63
Delaware,2.33
Florida,17.02
Georgia,-14.81
Hawaii,-1.9
Idaho,41.27
Illinois,7.93
Indiana,18.35
Iowa,12.7
Kansas,24.56
Kentucky,1.46
Louisiana,5.45
Maine,3.73
Maryland,-2.96
Massachusetts,0.15
Michigan,6.49
Minnesota,-3.94
Mississippi,1.32
Missouri,6.81
Montana,24.39
Nebraska,39.49
Nevada,35.64
New Hampshire,29.39
New Jersey,13.42
New Mexico,18.18
New York,2.67
North Carolina,2.12
North Dakota,37.97
Ohio,10.6
Oklahoma,25.53
Oregon,9.66
Pennsylvania,7.11
Rhode Island,-10.47
South Carolina,1.53
South Dakota,28.83
Tennessee,0.29
Texas,13.86
Utah,52.2
Vermont,5.96
Virginia,12.72
Washington,12.34
West Virginia,-4.51
Wisconsin,4.72
Wyoming,34.67
